Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
175,176,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",Además de Mí - Remix,1,70,260218,Argentina_2022_limpio.csv
176,177,Harry Styles,Late Night Talking,32,7,258944,Argentina_2022_limpio.csv
177,178,"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2,56,258941,Argentina_2022_limpio.csv
178,179,"Rusherking, Tiago PZK",NOW,8,22,258503,Argentina_2022_limpio.csv
179,180,WOS,ALMA DINAMITA,28,33,256982,Argentina_2022_limpio.csv
180,181,Metallica,Master Of Puppets,181,1,255392,Argentina_2022_limpio.csv
181,182,"Bad Bunny, Jhayco",DÁKITI,1,87,255004,Argentina_2022_limpio.csv
182,183,Turf,Pasos Al Costado,105,228,254788,Argentina_2022_limpio.csv
183,184,"Tiësto, KAROL G",Don't Be Shy,71,46,253911,Argentina_2022_limpio.csv
184,185,"Kaleb Di Masi, Alejo Isakk, Omar Varela",Red Bull Red Label,185,1,253289,Argentina_2022_limpio.csv
185,186,Rauw Alejandro,Cúrame,9,50,252639,Argentina_2022_limpio.csv
186,187,TINI,Acércate,84,8,251585,Argentina_2022_limpio.csv
187,188,Plan B,Es un Secreto,188,1,251533,Argentina_2022_limpio.csv
188,189,"Alejandro Lerner, Rusherking",Después De Ti,126,7,251365,Argentina_2022_limpio.csv
189,190,Ke Personajes,Cómo estás,25,153,250339,Argentina_2022_limpio.csv
190,191,"Duki, Bizarrap",Malbec,10,43,250312,Argentina_2022_limpio.csv
191,192,Ciro y los Persas,Me Gusta,71,283,248155,Argentina_2022_limpio.csv
192,193,Paulo Londra,Tal Vez,1,138,247534,Argentina_2022_limpio.csv
193,194,"TINI, Becky G, Anitta",La Loto,194,1,246132,Argentina_2022_limpio.csv
194,195,Coldplay,Yellow,145,14,245915,Argentina_2022_limpio.csv
195,196,The Police,Every Breath You Take,140,76,244121,Argentina_2022_limpio.csv
196,197,"Alvaro Diaz, Rauw Alejandro",Problemón,35,23,243329,Argentina_2022_limpio.csv
197,198,Paloma Faith,Only Love Can Hurt Like This,192,2,242978,Argentina_2022_limpio.csv
198,199,Bad Bunny,El Apagón,69,9,242815,Argentina_2022_limpio.csv
199,200,FMK,Gatas,117,7,241807,Argentina_2022_limpio.csv
0,1,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,1,9,2448167,Chile_2022_limpio.csv
1,2,"Bad Bunny, Chencho Corleone",Me Porto Bonito,2,9,2428541,Chile_2022_limpio.csv
2,3,TINI,La Triple T,1,9,2274392,Chile_2022_limpio.csv
3,4,Maria Becerra,OJALÁ,2,6,2273286,Chile_2022_limpio.csv
4,5,"Shakira, Rauw Alejandro",Te Felicito,3,11,2167614,Chile_2022_limpio.csv
5,6,Bad Bunny,Tití Me Preguntó,6,9,2163518,Chile_2022_limpio.csv
6,7,Bad Bunny,Moscow Mule,1,9,2024486,Chile_2022_limpio.csv
7,8,Bad Bunny,Efecto,8,9,1751991,Chile_2022_limpio.csv
8,9,Duki,Antes de Perderte,7,5,1577188,Chile_2022_limpio.csv
9,10,KAROL G,PROVENZA,9,11,1463782,Chile_2022_limpio.csv
10,11,"Sofía Reyes, Maria Becerra",Marte,2,21,1430274,Chile_2022_limpio.csv
11,12,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),9,5,1422964,Chile_2022_limpio.csv
12,13,"Emilia, Nicki Nicole",intoxicao,11,6,1382403,Chile_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,Chile_2022_limpio.csv
14,15,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",14,4,1308099,Chile_2022_limpio.csv
15,16,"Emanero, FMK, Rusherking, Estani",BANDIDO,15,6,1278974,Chile_2022_limpio.csv
16,17,"Rei, Callejero Fino",Tu Turrito,17,9,1260143,Chile_2022_limpio.csv
17,18,Paulo Londra,Luces,18,1,1228322,Chile_2022_limpio.csv
18,19,"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,2,14,1190350,Chile_2022_limpio.csv
19,20,Emilia,cuatro veinte,4,15,1159603,Chile_2022_limpio.csv
20,21,WOS,ARRANCARMELO,2,14,1153126,Chile_2022_limpio.csv
21,22,"Rauw Alejandro, Chencho Corleone",Desesperados,1,30,1113190,Chile_2022_limpio.csv
22,23,"Bad Bunny, Jhayco",Tarot,17,9,1061855,Chile_2022_limpio.csv
23,24,"La K'onga, Nahuel Pennisi",Universo Paralelo,2,34,1051039,Chile_2022_limpio.csv
24,25,"Luck Ra, Rusherking",Te Mentiría Remix,13,10,1045743,Chile_2022_limpio.csv
25,26,Lali,N5,26,2,1018984,Chile_2022_limpio.csv
26,27,"Cazzu, Maria Becerra",Maléfica,20,7,1017024,Chile_2022_limpio.csv
27,28,Paulo Londra,Nublado,28,1,999019,Chile_2022_limpio.csv
28,29,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",1,28,988055,Chile_2022_limpio.csv
29,30,"TINI, Beéle",Fantasi,5,20,974712,Chile_2022_limpio.csv
30,31,"Los Ángeles Azules, Nicki Nicole",Otra Noche,10,34,964185,Chile_2022_limpio.csv
31,32,"Bad Bunny, Rauw Alejandro",Party,17,9,963809,Chile_2022_limpio.csv
32,33,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),32,7,930772,Chile_2022_limpio.csv
33,34,TINI,Carne y Hueso,13,7,916477,Chile_2022_limpio.csv
34,35,"Becky G, KAROL G",MAMIII,10,21,900172,Chile_2022_limpio.csv
35,36,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],1,27,880597,Chile_2022_limpio.csv
36,37,Harry Styles,As It Was,6,14,849937,Chile_2022_limpio.csv
37,38,Kate Bush,Running Up That Hill (A Deal With God),38,6,818514,Chile_2022_limpio.csv
38,39,"Zion & Lennox, Maria Becerra",Berlin,39,1,816377,Chile_2022_limpio.csv
39,40,"TINI, Maria Becerra",Miénteme,1,62,789241,Chile_2022_limpio.csv
40,41,Maria Becerra,Felices x Siempre,11,20,784587,Chile_2022_limpio.csv
41,42,"FMK, Maria Becerra",Tranquila,3,25,777418,Chile_2022_limpio.csv
42,43,Paulo Londra,Plan A,1,16,776671,Chile_2022_limpio.csv
43,44,"Oscu, Nobeat",Numero 1,22,14,775600,Chile_2022_limpio.csv
44,45,Duki,Perreo Bendito,25,2,775272,Chile_2022_limpio.csv
45,46,"TINI, L-Gante",Bar,1,34,775166,Chile_2022_limpio.csv
46,47,"Bizarrap, Paulo Londra","Paulo Londra: Bzrp Music Sessions, Vol. 23",1,11,757596,Chile_2022_limpio.csv
47,48,"Morat, Duki",París,26,7,742887,Chile_2022_limpio.csv
48,49,Bad Bunny,Un Ratito,23,9,711124,Chile_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,Chile_2022_limpio.csv
50,51,La K'onga,Te Mentiría,14,59,688061,Chile_2022_limpio.csv
51,52,"LOUTA, WOS",QUEREME,43,3,650578,Chile_2022_limpio.csv
52,53,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",53,1,650161,Chile_2022_limpio.csv
53,54,"Perro Primo, EL NOBA, R Jota, Dj Plaga, DT.Bilardo","Yendo No, Llegando",10,26,630643,Chile_2022_limpio.csv
54,55,Ryan Castro,Jordan,20,20,609933,Chile_2022_limpio.csv
55,56,"Bad Bunny, Tony Dize",La Corriente,41,9,609681,Chile_2022_limpio.csv
56,57,"EL NOBA, Callejero Fino, Juanka, L-Gante, Kaleb Di Masi, DT.Bilardo, DINERO EN EL BEAT",Tamo Chelo - Remix,38,5,606378,Chile_2022_limpio.csv
57,58,Duki,Celosa,34,2,604985,Chile_2022_limpio.csv
58,59,La K'onga,El Mismo Aire,16,82,580640,Chile_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,Chile_2022_limpio.csv
60,61,"Mora, Sech",TUS LÁGRIMAS,22,12,561220,Chile_2022_limpio.csv
61,62,"Trueno, NATHY PELUSO",ARGENTINA,39,8,558538,Chile_2022_limpio.csv
62,63,Anitta,Envolver,13,18,551115,Chile_2022_limpio.csv
63,64,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,29,43,545032,Chile_2022_limpio.csv
64,65,"Reik, Maria Becerra",Los Tragos,30,32,530102,Chile_2022_limpio.csv
65,66,Bad Bunny,Aguacero,48,9,528434,Chile_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,Chile_2022_limpio.csv
67,68,Bad Bunny,Después de la Playa,20,9,517020,Chile_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,Chile_2022_limpio.csv
69,70,Bad Bunny,Yo No Soy Celoso,25,9,509688,Chile_2022_limpio.csv
70,71,"Rei, Quevedo",FERNET,71,5,497591,Chile_2022_limpio.csv
71,72,Bad Bunny,Dos Mil 16,42,9,497502,Chile_2022_limpio.csv
72,73,"La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",9,22,490608,Chile_2022_limpio.csv
73,74,Danny Ocean,Fuera del mercado,24,15,485848,Chile_2022_limpio.csv
74,75,"Tiago PZK, Trueno",Salimo de Noche,1,37,471961,Chile_2022_limpio.csv
75,76,Salastkbron,TITAN,2,32,466960,Chile_2022_limpio.csv
76,77,FMK,De Vacaciones,77,3,466629,Chile_2022_limpio.csv
77,78,Bad Bunny,Yonaguni,3,57,466283,Chile_2022_limpio.csv
78,79,"Callejero Fino, Four Plack",Fua Mi Amor,62,10,465183,Chile_2022_limpio.csv
79,80,"Emilia, Rusherking",De Enero a Diciembre,13,29,455523,Chile_2022_limpio.csv
80,81,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),20,40,454163,Chile_2022_limpio.csv
81,82,Bad Bunny,Neverita,35,9,453911,Chile_2022_limpio.csv
