rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,País
169,Maluma,HP,1,70,534170,Mexico
170,"DJ Pablito, La Factoria, Joycee",Todavía,154,22,534138,Mexico
171,Camilo,El Mismo Aire,57,11,534100,Mexico
172,Luis Miguel,Hasta Que Me Olvides,84,46,532827,Mexico
173,Travis Scott,goosebumps,41,10,532754,Mexico
174,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,174,1,531877,Mexico
175,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),175,1,528173,Mexico
176,"Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles",Bellaquita (Remix),65,31,528079,Mexico
177,Trevor Daniel,Falling,68,29,527503,Mexico
178,Maroon 5,Memories,27,38,526450,Mexico
179,Camilo,La Difícil,56,27,525561,Mexico
180,Reyli Barba,Amor del Bueno,132,61,525030,Mexico
181,J Balvin,Gris,33,15,522851,Mexico
182,Zion & Lennox,La player (Bandolera),9,87,518813,Mexico
183,Hombres G,Devuélveme a mi chica,72,151,518805,Mexico
184,"Sech, Ozuna",Si Te Vas,26,40,514576,Mexico
185,Inspector,Amargo Adiós,110,80,513138,Mexico
186,Bad Bunny,Pero Ya No,7,18,512293,Mexico
187,J Balvin,Rosa,23,15,512168,Mexico
188,"Adriel Favela, Código FN",Miami Vibe,82,49,511460,Mexico
189,Intocable,Fuerte No Soy,163,3,511310,Mexico
190,Roddy Ricch,The Box,48,24,510125,Mexico
191,Elefante,Así Es la Vida,96,80,508336,Mexico
192,La Adictiva,El Amor de Mi Vida,104,58,507393,Mexico
193,Jarabe De Palo,La flaca,76,156,505475,Mexico
194,"Maluma, Ricky Martin",No Se Me Quita (feat. Ricky Martin),20,45,504691,Mexico
195,Banda MS de Sergio Lizárraga,Por Mi No Te Detengas,96,51,504237,Mexico
196,Kenia OS,Cocteles,73,9,501015,Mexico
197,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),197,1,500773,Mexico
198,"Cali Y El Dandee, Sebastian Yatra",Locura,167,7,498823,Mexico
199,"Sech, Daddy Yankee",Confía,133,5,496102,Mexico
200,La Quinta Estacion,El Sol No Regresa,113,83,494783,Mexico
